0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:36 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:40 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:40 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:40 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:40 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:40 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:40 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:41 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:41 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:41 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:41 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:52 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:52 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:52 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:53 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:37:53 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:29 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:29 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:29 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:31 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:31 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:31 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:31 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:31 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:42 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:42 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:42 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:42 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:42 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:38:56 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:40:35 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:40:35 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:40:35 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:40:36 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:40:36 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:40:47 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:40:48 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:40:48 -0200] "GET /coldigoGeladeiras/css/style.css HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:40:48 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:40:48 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:46:37 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:46:37 -0200] "GET /coldigoGeladeiras/css/style.css HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:46:37 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:46:37 -0200] "GET /coldigoGeladeiras/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:46:37 -0200] "GET /coldigoGeladeiras/pages/admin/general/header.html HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:46:37 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:47:15 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:47:15 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:47:15 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:47:15 -0200] "GET /coldigoGeladeiras/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:47:15 -0200] "GET /coldigoGeladeiras/pages/admin/general/header.html HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [05/Nov/2019:21:47:15 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:02:12 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:02:12 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:02:12 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:02:12 -0200] "GET /coldigoGeladeiras/pages/admin/general/header.html HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:02:12 -0200] "GET /coldigoGeladeiras/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:02:12 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:16 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:16 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:16 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:16 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:16 -0200] "GET /coldigoGeladeiras/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:16 -0200] "GET /coldigoGeladeiras/pages/admin/general/header.html HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:17 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:17 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:17 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:17 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:17 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:17 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:17 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:17 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:17 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:17 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:17 -0200] "GET /coldigoGeladeiras/css/admin.css HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:17 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:18 -0200] "GET /coldigoGeladeiras/pages/admin/general/header.html HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:18 -0200] "GET /coldigoGeladeiras/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:03:18 -0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:04:43 -0200] "GET /coldigoGeladeiras/pages/admin/index.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [05/Nov/2019:22:04:43 -0200] "GET /coldigoGeladeiras/js/admin.js HTTP/1.1" 200 186
